finishing_position;horse_number;horse_name;horse_id;jockey;trainer;actual_weight;declared_horse_weight;draw;running_position_1;running_position_2;running_position_3;finish_time;finish_time_seconds;race_id;father;mother;gfather
3;8;ROMAN ODYSSEY;A092;Z Purton;K L Man;124;1099;1;3;3;3;1.10.06;70,006;2016-640;HOLY ROMAN EMPEROR;RULE THE WAVES;KING'S BEST
7;5;ROMAN ODYSSEY;A092;N Rawiller;K L Man;125;1102;12;2;2;7;1.10.52;70,052;2016-542;HOLY ROMAN EMPEROR;RULE THE WAVES;KING'S BEST
4;6;ROODEYE;H_MOTH_137;O. Murphy;Sir Michael Stoute;121;1042;1;5;4;2;1.45;102;2007-514;INCHINOR;DAM OF ROODEYE;SECRETARIAT
5;12;ROSA BONHEUR;H_MOTH_157;W. Buick;Sir Michael Stoute;121;1069;6;2;2;2;1.53;105;2009-484;MR GREELEY;FIRE LINE;FIREBREAK
4;11;ROSE OF HALLOWELL;H_MOTH_180;O. Murphy;M. Johnston;121;1080;1;2;3;4;1.39;114;2009-506;COMMANDS;DAM OF ROSE OF HALLOWELL;MR. PROSPECTOR
1;1;ROSE STAR;H_MOTH_206;J. Doyle;Sir Michael Stoute;121;1073;8;4;1;3;1.50;117;2012-379;PASSING SALE;DAM OF ROSE STAR;MR. PROSPECTOR
3;10;ROYAL APPLAUSE;H_FATH_109;C. Soumillon;C. Appleby;126;1150;6;4;3;2;1.51;114;2007-210;SADLER'S WELLS;DAM OF ROYAL APPLAUSE;BOLD RULER
6;6;ROYAL MAJESTIC;H_MOTH_058;W. Buick;Sir Michael Stoute;121;1088;7;5;2;2;1.35;119;2008-312;TOBOUGG;DAM OF ROYAL MAJESTIC;MR. PROSPECTOR
3;2;ROYAL TOUR;H_MOTH_112;O. Murphy;Sir Michael Stoute;121;1050;4;6;5;3;1.57;114;2009-520;QUEST FOR FAME;DAM OF ROYAL TOUR;MR. PROSPECTOR
4;12;RULE THE WAVES;H_MOTH_052;J. Doyle;W. Haggas;121;1073;12;5;4;2;1.59;102;2008-342;KING'S BEST;DAM OF RULE THE WAVES;MR. PROSPECTOR
5;4;RUQQAYA;H_MOTH_175;J. Doyle;Sir Michael Stoute;121;1069;9;4;5;4;1.53;102;2010-544;VAN NISTELROOY;DAM OF RUQQAYA;SECRETARIAT
5;3;RUSOOKH;H_MOTH_184;W. Buick;W. Haggas;121;1084;7;2;5;1;1.40;101;2007-403;NAYEF;DAM OF RUSOOKH;MR. PROSPECTOR
3;3;RUSSIAN BELLE;H_MOTH_187;O. Murphy;M. Johnston;121;1031;5;1;4;1;1.40;113;2009-410;STRAVINSKY;DAM OF RUSSIAN BELLE;SECRETARIAT
9;3;SACRED IBIS;A127;K Teetan;P O'Sullivan;126;1162;1;13;13;9;0.57.48;57,048;2016-752;O'REILLY;FLUTTER;SAVABEEL
2;8;SADLER'S WELLS;H_GFATH_011;Legacy Jockey;Legacy Trainer;128;1141;4;6;3;1;2.16;127;2000-882;NATIVE DANCER;DAM OF SADLER'S WELLS;NASRULLAH
1;8;SAM'S LOVE;A088;J Moreira;C H Yip;126;996;13;11;8;1;1.09.61;69,061;2016-535;SMART MISSILE;DASHIE DIVA;DASH FOR CASH
8;11;SANDTRAP;H_GFATH_062;Legacy Jockey;Legacy Trainer;128;1161;8;4;5;2;2.20;133;1999-612;NEARCO;DAM OF SANDTRAP;HYPERION
10;8;SANGRIA;A065;H T Mo;D E Ferraris;111;1041;1;14;14;10;0.57.62;57,062;2016-376;AMERICAN POST;NOOZHAH;SINGSPIEL
12;7;SANGRIA;A065;N Juglall;D E Ferraris;121;1056;2;12;12;12;0.58.08;58,008;2016-275;AMERICAN POST;NOOZHAH;SINGSPIEL
10;3;SANGRIA;A065;K C Ng;D E Ferraris;122;1034;4;12;12;10;0.58.15;58,015;2016-595;AMERICAN POST;NOOZHAH;SINGSPIEL
12;7;SANGRIA;A065;K C Ng;D E Ferraris;121;1026;7;12;12;12;0.58.63;58,063;2016-622;AMERICAN POST;NOOZHAH;SINGSPIEL
12;4;SANGRIA;A065;H T Mo;D E Ferraris;123;1043;14;10;7;12;0.58.92;58,092;2016-519;AMERICAN POST;NOOZHAH;SINGSPIEL
11;9;SANGRIA;A065;T H So;D E Ferraris;117;1042;4;12;12;11;1.10.26;70,026;2016-415;AMERICAN POST;NOOZHAH;SINGSPIEL
11;3;SANGRIA;A065;T H So;D E Ferraris;128;1039;3;12;11;11;1.10.97;70,097;2016-556;AMERICAN POST;NOOZHAH;SINGSPIEL
1;12;SARASOTA;H_MOTH_158;J. Doyle;W. Haggas;121;1038;10;2;4;3;1.40;110;2011-320;DANEHILL;SALDENAERA;AREION
1;7;SASSY GAL;H_MOTH_176;J. Doyle;Sir Michael Stoute;121;1084;10;5;5;2;1.38;119;2009-530;KING'S BEST;DAM OF SASSY GAL;MR. PROSPECTOR
1;6;SAVABEEL;H_GFATH_050;Legacy Jockey;Legacy Trainer;128;1131;4;7;3;3;2.04;130;2000-846;SADLER'S WELLS;DAM OF SAVABEEL;BOLD RULER
1;9;SAVABEEL;H_FATH_069;R. Moore;C. Appleby;126;1108;9;4;4;2;1.44;113;2007-209;SADLER'S WELLS;DAM OF SAVABEEL;BOLD RULER
3;10;SAVAMOUR;H_MOTH_079;W. Buick;M. Johnston;121;1025;4;2;5;4;1.43;96;2012-339;SAVABEEL;DAM OF SAVAMOUR;SECRETARIAT
2;5;SCAT DADDY;H_FATH_066;L. Dettori;C. Appleby;126;1148;3;3;1;1;1.52;104;2008-278;NORTHERN DANCER;DAM OF SCAT DADDY;NEARCO
4;9;SCATTER THE GOLD;H_GFATH_138;Legacy Jockey;Legacy Trainer;128;1131;10;3;5;6;2.17;133;2001-983;NEARCO;DAM OF SCATTER THE GOLD;HYPERION
3;9;SCHAPELLE;H_MOTH_039;O. Murphy;Sir Michael Stoute;121;1058;5;6;2;4;1.45;110;2008-479;LION HUNTER;DAM OF SCHAPELLE;SECRETARIAT
8;11;SEASONS BLOOM;V410;S de Sousa;C S Shum;119;1033;5;11;11;8;1.10.01;70,001;2016-184;CAPTAIN SONADOR;PYRAMISA'S LASS;NOT A SINGLE DOUBT
3;12;SECRET SAVINGS;H_GFATH_006;Legacy Jockey;Legacy Trainer;128;1107;3;2;4;5;2.15;138;1999-948;NEARCO;DAM OF SECRET SAVINGS;HYPERION
7;8;SEEKING THE GOLD;H_GFATH_008;Legacy Jockey;Legacy Trainer;128;1105;2;5;6;3;2.00;136;1999-993;NEARCO;DAM OF SEEKING THE GOLD;HYPERION
1;11;SELINKA;H_MOTH_083;O. Murphy;W. Haggas;121;1082;4;3;5;4;1.48;100;2009-600;SELKIRK;DAM OF SELINKA;SECRETARIAT
3;10;SELKIRK;H_GFATH_068;Legacy Jockey;Legacy Trainer;128;1112;3;8;5;5;2.01;137;2004-858;NEARCO;DAM OF SELKIRK;HYPERION
2;8;SENOR PETE;H_GFATH_069;Legacy Jockey;Legacy Trainer;128;1116;10;1;7;6;2.20;133;1999-868;NATIVE DANCER;DAM OF SENOR PETE;NASRULLAH
2;3;SEPTIEME CIEL;H_GFATH_104;Legacy Jockey;Legacy Trainer;128;1143;4;6;3;6;2.09;128;1999-910;NEARCO;DAM OF SEPTIEME CIEL;HYPERION
5;9;SEQUALO;H_FATH_099;R. Moore;C. Appleby;126;1108;2;4;3;3;1.48;98;2006-135;SADLER'S WELLS;DAM OF SEQUALO;BOLD RULER
6;4;SHADES OF SILK;H_MOTH_044;O. Murphy;W. Haggas;121;1056;11;1;1;2;1.52;118;2010-320;THUNDER GULCH;DAM OF SHADES OF SILK;MR. PROSPECTOR
5;1;SHAMARDAL;H_FATH_013;C. Soumillon;John Gosden;126;1142;1;1;3;2;1.42;96;2010-161;SADLER'S WELLS;DAM OF SHAMARDAL;BOLD RULER
6;1;SHANGHAI MASTER;A337;H W Lai;K W Lui;133;1155;4;5;4;6;1.10.16;70,016;2016-747;MORE THAN READY;ROSE OF HALLOWELL;COMMANDS
10;2;SHANGHAI MASTER;A337;K K Chiong;K W Lui;128;1154;3;6;7;10;1.11.12;71,012;2016-806;MORE THAN READY;ROSE OF HALLOWELL;COMMANDS
6;9;SHARAPOVA;H_MOTH_023;O. Murphy;M. Johnston;121;1058;8;2;4;3;1.49;97;2010-331;ELUSIVE QUALITY;DAM OF SHARAPOVA;SECRETARIAT
1;2;SHAWNEE'S BEST;H_MOTH_010;J. Doyle;M. Johnston;121;1071;6;5;2;1;1.39;114;2012-525;KING'S BEST;DAM OF SHAWNEE'S BEST;MR. PROSPECTOR
2;9;SHEZGONEWEST;H_MOTH_062;O. Murphy;Sir Michael Stoute;121;1060;10;5;3;2;1.44;99;2007-567;MUGHARREB;DAM OF SHEZGONEWEST;MR. PROSPECTOR
1;3;SHINZIG;H_FATH_126;C. Soumillon;John Gosden;126;1139;10;5;4;3;1.53;115;2007-262;NORTHERN DANCER;DAM OF SHINZIG;NEARCO
2;3;SHOW A HEART;H_FATH_044;C. Soumillon;C. Appleby;126;1080;2;4;2;1;1.57;111;2009-218;NORTHERN DANCER;DAM OF SHOW A HEART;NEARCO
6;10;SHOW EXHIBIT;H_MOTH_098;J. Doyle;M. Johnston;121;1039;6;1;4;1;1.44;108;2010-344;DANEHILL;DAM OF SHOW EXHIBIT;MR. PROSPECTOR
1;7;SHOW MISSION;T436;J Moreira;Y S Tsui;121;1097;1;4;3;1;0.57.40;57,04;2016-473;SHOWCASING;OLGA PALOSKY;CRESTED WAVE
4;6;SHOW MISSION;T436;J Moreira;Y S Tsui;130;1092;1;3;3;4;1.10.45;70,045;2016-528;SHOWCASING;OLGA PALOSKY;CRESTED WAVE
2;9;SHOW MISSION;T436;C Schofield;Y S Tsui;119;1084;5;3;4;2;1.10.65;70,065;2016-401;SHOWCASING;OLGA PALOSKY;CRESTED WAVE
8;10;SHOW MISSION;T436;H W Lai;Y S Tsui;121;1088;14;5;5;8;1.10.78;70,078;2016-371;SHOWCASING;OLGA PALOSKY;CRESTED WAVE
11;7;SHOW MISSION;T436;V Cheminaud;Y S Tsui;124;1088;9;6;7;11;1.10.85;70,085;2015-310;SHOWCASING;OLGA PALOSKY;CRESTED WAVE
2;6;SHOWCASING;H_FATH_007;L. Dettori;A. P. O'Brien;126;1084;6;4;3;1;1.41;113;2010-283;SADLER'S WELLS;DAM OF SHOWCASING;BOLD RULER
3;9;SHOWUSYOURPINS;H_MOTH_135;W. Buick;W. Haggas;121;1029;8;4;5;3;1.36;110;2010-591;PINS;DAM OF SHOWUSYOURPINS;SECRETARIAT
2;7;SIDESTEP;H_FATH_010;C. Soumillon;A. P. O'Brien;126;1129;7;5;4;3;1.43;112;2007-102;NORTHERN DANCER;DAM OF SIDESTEP;NEARCO
10;11;SILVER MISSION;S450;K Teetan;Y S Tsui;129;1142;1;4;8;10;0.58.34;58,034;2014-251;DARK ANGEL;MISS INDIGO;INDIAN RIDGE
11;9;SILVER MISSION;S450;D Whyte;Y S Tsui;125;1134;11;4;5;11;1.10.77;70,077;2014-178;DARK ANGEL;MISS INDIGO;INDIAN RIDGE
3;5;SILVERPOCKETSFULL;H_MOTH_192;O. Murphy;M. Johnston;121;1058;4;2;5;2;1.36;120;2012-507;INDIAN CHARLIE;DAM OF SILVERPOCKETSFULL;MR. PROSPECTOR
5;12;SING HALLELUJAH;H_MOTH_134;O. Murphy;Sir Michael Stoute;121;1067;3;6;3;1;1.59;95;2011-472;BIG SHUFFLE;DAM OF SING HALLELUJAH;MR. PROSPECTOR
3;9;SINGSPIEL;H_GFATH_055;Legacy Jockey;Legacy Trainer;128;1117;8;3;2;5;2.18;124;2001-977;NATIVE DANCER;DAM OF SINGSPIEL;NASRULLAH
4;2;SISTER LIVIA;H_MOTH_139;O. Murphy;W. Haggas;121;1059;6;1;5;4;1.35;106;2007-403;GALILEO;DAM OF SISTER LIVIA;SECRETARIAT
13;7;SKY FULL OF STARS;T260;H N Wong;D E Ferraris;116;1110;3;10;13;13;0.57.72;57,072;2014-581;MAHLER;GOLD FLO;FOURSTARS ALLSTAR
7;2;SKY FULL OF STARS;T260;K Teetan;D E Ferraris;127;1099;11;6;6;7;0.58.09;58,009;2014-609;MAHLER;GOLD FLO;FOURSTARS ALLSTAR
4;5;SKY FULL OF STARS;T260;C Schofield;D E Ferraris;130;1100;1;8;8;4;0.58.60;58,06;2015-122;MAHLER;GOLD FLO;FOURSTARS ALLSTAR
9;6;SKY FULL OF STARS;T260;R Fourie;D E Ferraris;128;1102;9;10;11;9;0.58.83;58,083;2015-216;MAHLER;GOLD FLO;FOURSTARS ALLSTAR
7;6;SKY FULL OF STARS;T260;K Teetan;D E Ferraris;123;1102;7;9;9;7;1.11.11;71,011;2014-647;MAHLER;GOLD FLO;FOURSTARS ALLSTAR
3;12;SKY TREASURE;V401;H W Lai;Y S Tsui;114;1059;6;6;6;3;0.57.64;57,064;2016-584;STRAVINSKY;INZABEEL;ZABEEL
14;13;SKY TREASURE;V401;K C Ng;Y S Tsui;113;1058;11;13;14;14;0.58.24;58,024;2016-553;STRAVINSKY;INZABEEL;ZABEEL
3;11;SKY TREASURE;V401;J Moreira;Y S Tsui;119;1067;11;3;4;3;1.10.37;70,037;2016-709;STRAVINSKY;INZABEEL;ZABEEL
7;9;SKY TREASURE;V401;C Y Ho;Y S Tsui;120;1065;1;6;3;7;1.10.70;70,07;2016-477;STRAVINSKY;INZABEEL;ZABEEL
2;10;SKY TREASURE;V401;J Moreira;Y S Tsui;115;1066;8;10;10;2;1.10.93;70,093;2016-672;STRAVINSKY;INZABEEL;ZABEEL
9;12;SKY TREASURE;V401;J Moreira;Y S Tsui;116;1072;12;10;10;9;1.11.09;71,009;2016-764;STRAVINSKY;INZABEEL;ZABEEL
1;4;SLEDGE HAMMER;N405;J Moreira;D Cruz;130;1229;9;8;8;1;1.09.02;69,002;2016-231;PASTORIUS;SING HALLELUJAH;BIG SHUFFLE
2;6;SLEDGE HAMMER;N405;S Clipperton;D Cruz;128;1208;1;2;1;2;1.09.32;69,032;2016-121;PASTORIUS;SING HALLELUJAH;BIG SHUFFLE
1;2;SLEDGE HAMMER;N405;Z Purton;C S Shum;133;1194;1;5;4;1;1.09.52;69,052;2014-085;PASTORIUS;SING HALLELUJAH;BIG SHUFFLE
4;2;SLEDGE HAMMER;N405;J Moreira;C S Shum;133;1210;8;8;8;4;1.09.52;69,052;2014-373;PASTORIUS;SING HALLELUJAH;BIG SHUFFLE
2;7;SLEDGE HAMMER;N405;Z Purton;C S Shum;127;1188;5;5;4;2;1.09.63;69,063;2014-067;PASTORIUS;SING HALLELUJAH;BIG SHUFFLE
5;2;SLEDGE HAMMER;N405;G Mosse;C S Shum;133;1197;7;9;9;5;1.09.74;69,074;2014-301;PASTORIUS;SING HALLELUJAH;BIG SHUFFLE
7;12;SLEDGE HAMMER;N405;M L Yeung;A Schutz;115;1215;8;10;9;7;1.09.86;69,086;2015-381;PASTORIUS;SING HALLELUJAH;BIG SHUFFLE
8;12;SLEDGE HAMMER;N405;M L Yeung;C S Shum;112;1205;1;8;8;8;1.09.95;69,095;2014-287;PASTORIUS;SING HALLELUJAH;BIG SHUFFLE
9;12;SLEDGE HAMMER;N405;Y T Cheng;A Schutz;116;1187;3;9;9;9;1.10.11;70,011;2015-625;PASTORIUS;SING HALLELUJAH;BIG SHUFFLE
3;5;SLEDGE HAMMER;N405;J Moreira;C S Shum;131;1202;5;8;8;3;1.10.14;70,014;2014-012;PASTORIUS;SING HALLELUJAH;BIG SHUFFLE
9;11;SLEDGE HAMMER;N405;A Atzeni;C S Shum;117;1190;8;11;12;9;1.10.23;70,023;2014-219;PASTORIUS;SING HALLELUJAH;BIG SHUFFLE
8;12;SLEDGE HAMMER;N405;C Reith;C S Shum;119;1199;11;10;10;8;1.10.40;70,04;2014-132;PASTORIUS;SING HALLELUJAH;BIG SHUFFLE
7;10;SLEDGE HAMMER;N405;M L Yeung;C S Shum;114;1198;9;10;10;7;1.10.47;70,047;2014-253;PASTORIUS;SING HALLELUJAH;BIG SHUFFLE
10;12;SLEDGE HAMMER;N405;M Chadwick;C S Shum;117;1200;13;11;10;10;1.10.53;70,053;2014-178;PASTORIUS;SING HALLELUJAH;BIG SHUFFLE
1;1;SMART MISSILE;H_FATH_000;C. Soumillon;John Gosden;126;1111;4;2;1;3;1.58;112;2011-122;NORTHERN DANCER;DAM OF SMART MISSILE;NEARCO
6;3;SNOW FLIGHT;H_MOTH_160;O. Murphy;Sir Michael Stoute;121;1022;3;5;2;1;1.51;106;2009-338;COLOMBIA;DAM OF SNOW FLIGHT;MR. PROSPECTOR
6;6;SOLVED;H_MOTH_191;J. Doyle;M. Johnston;121;1056;5;6;1;4;1.37;105;2011-442;ELUSIVE QUALITY;DAM OF SOLVED;SECRETARIAT
7;4;SONG OF TARA;H_GFATH_092;Legacy Jockey;Legacy Trainer;128;1173;3;1;5;4;2.15;137;2002-617;NEARCO;DAM OF SONG OF TARA;HYPERION
2;12;SORBELLO;H_MOTH_060;W. Buick;Sir Michael Stoute;121;1073;10;1;2;2;1.37;98;2009-318;GOLAN;DAM OF SORBELLO;MR. PROSPECTOR
6;6;SOTELA;H_MOTH_196;J. Doyle;Sir Michael Stoute;121;1048;6;2;3;4;1.45;106;2008-434;COMMANDS;DAM OF SOTELA;MR. PROSPECTOR
1;7;SOUTHERN LEGEND;A252;K Teetan;C Fownes;118;1122;12;8;8;1;1.09.55;69,055;2016-796;NOT A SINGLE DOUBT;DONNA'S APPEAL;CARNEGIE
13;7;SOUTHERN LEGEND;A252;J Moreira;C Fownes;122;1121;1;6;5;13;1.10.68;70,068;2016-688;NOT A SINGLE DOUBT;DONNA'S APPEAL;CARNEGIE
3;4;SPECIAL CUVEE;H_MOTH_127;J. Doyle;M. Johnston;121;1085;4;6;4;3;1.55;96;2012-423;FASLIYEV;DAM OF SPECIAL CUVEE;SECRETARIAT
7;7;SPECTRUM;H_GFATH_079;Legacy Jockey;Legacy Trainer;128;1178;11;5;6;5;2.01;125;1998-928;NATIVE DANCER;DAM OF SPECTRUM;NASRULLAH
11;6;SPEEDY WALLY;T002;H W Lai;P O'Sullivan;120;1062;1;8;9;11;1.10.12;70,012;2014-164;SHINZIG;MOTA;AT TALAQ
9;7;SPEEDY WALLY;T002;C K Tong;C Fownes;126;1080;10;11;11;9;1.10.47;70,047;2015-774;SHINZIG;MOTA;AT TALAQ
3;3;SPEEDY WALLY;T002;O Doleuze;C Fownes;131;1080;8;12;12;3;1.10.53;70,053;2015-648;SHINZIG;MOTA;AT TALAQ
11;5;SPEEDY WALLY;T002;K C Leung;P O'Sullivan;122;1070;8;8;8;11;1.10.73;70,073;2014-220;SHINZIG;MOTA;AT TALAQ
8;7;SPINNING WORLD;H_GFATH_043;Legacy Jockey;Legacy Trainer;128;1150;11;1;4;2;2.17;127;2002-670;NATIVE DANCER;DAM OF SPINNING WORLD;NASRULLAH
3;7;STAND BY YOUR MAN;H_MOTH_029;O. Murphy;Sir Michael Stoute;121;1071;1;5;5;2;1.46;112;2012-448;NUCLEAR FREEZE;DAM OF STAND BY YOUR MAN;SECRETARIAT
2;6;STAR SUPERIOR;V255;O Doleuze;C W Chang;128;1054;8;8;4;2;1.09.17;69,017;2016-755;REWARD FOR EFFORT;SISTER LIVIA;GALILEO
2;7;STAR SUPERIOR;V255;D Whyte;C W Chang;124;1042;6;5;3;2;1.09.25;69,025;2016-693;REWARD FOR EFFORT;SISTER LIVIA;GALILEO
7;9;STAR SUPERIOR;V255;O Doleuze;C W Chang;120;1059;8;12;10;7;1.09.45;69,045;2015-762;REWARD FOR EFFORT;SISTER LIVIA;GALILEO
2;2;STAR SUPERIOR;V255;H T Mo;C W Chang;124;1058;1;7;4;2;1.09.63;69,063;2016-782;REWARD FOR EFFORT;SISTER LIVIA;GALILEO
4;3;STAR SUPERIOR;V255;D Whyte;C W Chang;132;1057;3;9;8;4;1.09.69;69,069;2016-458;REWARD FOR EFFORT;SISTER LIVIA;GALILEO
9;9;STAR SUPERIOR;V255;O Doleuze;C W Chang;120;1086;13;13;11;9;1.09.81;69,081;2016-070;REWARD FOR EFFORT;SISTER LIVIA;GALILEO
5;10;STAR SUPERIOR;V255;O Doleuze;C W Chang;120;1087;7;7;4;5;1.10.08;70,008;2016-153;REWARD FOR EFFORT;SISTER LIVIA;GALILEO
9;1;STAR SUPERIOR;V255;O Doleuze;C W Chang;133;1064;8;8;8;9;1.10.18;70,018;2016-348;REWARD FOR EFFORT;SISTER LIVIA;GALILEO
10;10;STAR SUPERIOR;V255;K Teetan;C W Chang;117;1088;10;11;11;10;1.11.05;71,005;2016-230;REWARD FOR EFFORT;SISTER LIVIA;GALILEO
2;7;STAR WITNESS;H_FATH_062;R. Moore;C. Appleby;126;1110;8;4;4;1;1.37;104;2006-156;NORTHERN DANCER;DAM OF STAR WITNESS;NEARCO
4;9;STARBECK;H_MOTH_095;J. Doyle;M. Johnston;121;1073;9;1;3;1;1.38;119;2011-428;SPECTRUM;DAM OF STARBECK;SECRETARIAT
14;9;STARLIGHT;V273;C Schofield;C H Yip;127;1046;2;6;6;14;0.58.43;58,043;2016-214;RED ELEMENT;BUSH TRIUMPH;BUCK'S PRIDE
1;11;STARLIGHT;V273;U Rispoli;C H Yip;119;1063;4;5;5;1;1.09.88;69,088;2016-617;RED ELEMENT;BUSH TRIUMPH;BUCK'S PRIDE
3;13;STARLIGHT;V273;U Rispoli;C H Yip;118;1048;7;5;7;3;1.10.00;70;2016-537;RED ELEMENT;BUSH TRIUMPH;BUCK'S PRIDE
1;7;STARLIGHT;V273;Z Purton;C H Yip;124;1066;10;10;10;1;1.10.06;70,006;2016-792;RED ELEMENT;BUSH TRIUMPH;BUCK'S PRIDE
2;10;STARLIGHT;V273;U Rispoli;C H Yip;122;1070;10;11;10;2;1.10.48;70,048;2016-658;RED ELEMENT;BUSH TRIUMPH;BUCK'S PRIDE
12;8;STARLIGHT;V273;C Schofield;C H Yip;125;1047;14;7;8;12;1.10.49;70,049;2015-745;RED ELEMENT;BUSH TRIUMPH;BUCK'S PRIDE
3;5;STARLIGHT;V273;Z Purton;C H Yip;125;1055;11;12;12;3;1.10.57;70,057;2016-764;RED ELEMENT;BUSH TRIUMPH;BUCK'S PRIDE
6;4;STARLIGHT;V273;U Rispoli;C H Yip;129;1070;12;7;6;6;1.10.59;70,059;2016-709;RED ELEMENT;BUSH TRIUMPH;BUCK'S PRIDE
5;10;STARLIGHT;V273;Z Purton;C H Yip;122;1056;12;11;10;5;1.10.91;70,091;2016-328;RED ELEMENT;BUSH TRIUMPH;BUCK'S PRIDE
12;2;STARLIT KNIGHT;A137;G Mosse;Y S Tsui;131;1059;4;11;12;12;0.58.83;58,083;2016-448;FATH;JEUNES KNIGHT;JEUNE
12;1;STARLIT KNIGHT;A137;N Rawiller;Y S Tsui;133;1070;4;8;9;12;1.10.60;70,06;2016-539;FATH;JEUNES KNIGHT;JEUNE
7;9;STARLOT;V367;C Schofield;R Gibson;122;1164;12;6;5;7;0.57.77;57,077;2016-102;STAR WITNESS;PEARL OF THE SEA;FASTNET ROCK
2;11;STARLOT;V367;C Schofield;R Gibson;118;1147;2;7;3;2;1.09.23;69,023;2016-594;STAR WITNESS;PEARL OF THE SEA;FASTNET ROCK
2;11;STARLOT;V367;D Whyte;R Gibson;118;1157;5;9;5;2;1.09.31;69,031;2016-549;STAR WITNESS;PEARL OF THE SEA;FASTNET ROCK
7;9;STARLOT;V367;C Schofield;R Gibson;121;1158;4;4;6;7;1.10.28;70,028;2016-691;STAR WITNESS;PEARL OF THE SEA;FASTNET ROCK
11;10;STARLOT;V367;A Badel;R Gibson;120;1169;10;10;8;11;1.10.62;70,062;2016-430;STAR WITNESS;PEARL OF THE SEA;FASTNET ROCK
7;11;STARLOT;V367;U Rispoli;R Gibson;123;1167;7;7;5;7;1.10.75;70,075;2016-158;STAR WITNESS;PEARL OF THE SEA;FASTNET ROCK
3;4;STARSHIP;H_MOTH_200;W. Buick;M. Johnston;121;1040;8;1;2;4;1.55;108;2010-507;HUSSON;OURKOHINOOR;KING CUGAT
2;8;STARSHIP;V379;N Callan;P O'Sullivan;126;1126;4;9;9;2;1.09.24;69,024;2016-126;HUSSON;OURKOHINOOR;KING CUGAT
1;2;STARSHIP;V379;Z Purton;P O'Sullivan;131;1136;3;7;6;1;1.10.31;70,031;2016-737;HUSSON;OURKOHINOOR;KING CUGAT
2;2;STARSHIP;V379;Z Purton;P O'Sullivan;133;1134;11;11;10;2;1.10.45;70,045;2016-661;HUSSON;OURKOHINOOR;KING CUGAT
4;10;STARSHIP;V379;Z Purton;P O'Sullivan;120;1141;11;11;11;4;1.10.46;70,046;2016-806;HUSSON;OURKOHINOOR;KING CUGAT
7;5;STARSHIP;V379;K C Leung;P O'Sullivan;117;1126;6;7;8;7;1.11.03;71,003;2016-513;HUSSON;OURKOHINOOR;KING CUGAT
5;1;STATUE OF LIBERTY;H_FATH_115;C. Soumillon;C. Appleby;126;1114;1;2;3;3;1.59;104;2011-186;SADLER'S WELLS;DAM OF STATUE OF LIBERTY;BOLD RULER
2;5;STAY GOLD;H_GFATH_047;Legacy Jockey;Legacy Trainer;128;1108;5;2;2;6;2.18;135;2005-770;NATIVE DANCER;DAM OF STAY GOLD;NASRULLAH
2;7;STOLEN GIRLFRIEND;H_MOTH_168;W. Buick;M. Johnston;121;1029;9;1;3;4;1.57;95;2009-521;CANNY LAD;DAM OF STOLEN GIRLFRIEND;MR. PROSPECTOR
6;11;STORM CAT;H_GFATH_139;Legacy Jockey;Legacy Trainer;128;1158;12;7;1;2;2.05;137;1999-806;NATIVE DANCER;DAM OF STORM CAT;NASRULLAH
6;9;STORMY ATLANTIC;H_GFATH_077;Legacy Jockey;Legacy Trainer;128;1178;12;1;2;4;2.20;120;2004-647;NATIVE DANCER;DAM OF STORMY ATLANTIC;NASRULLAH
6;6;STRATEGIC;H_GFATH_004;Legacy Jockey;Legacy Trainer;128;1156;10;5;6;1;2.11;130;2000-694;KODIAC;RUN TO JANE;DOYOUN
2;6;STRATHCLYDE;V225;S Clipperton;A T Millard;126;1188;3;4;4;2;0.57.20;57,02;2016-590;TOORAK TOFF;LADY'S LIGHT;TOOLIGHTTOQUIT
8;13;STRATHCLYDE;V225;K C Leung;A T Millard;115;1166;14;2;2;8;0.57.33;57,033;2015-706;TOORAK TOFF;LADY'S LIGHT;TOOLIGHTTOQUIT
4;4;STRATHCLYDE;V225;S Clipperton;A T Millard;128;1176;7;4;2;4;0.57.53;57,053;2016-647;TOORAK TOFF;LADY'S LIGHT;TOOLIGHTTOQUIT
5;13;STRATHCLYDE;V225;C Schofield;A T Millard;122;1199;8;9;5;5;0.57.75;57,075;2016-444;TOORAK TOFF;LADY'S LIGHT;TOOLIGHTTOQUIT
1;11;STRATHCLYDE;V225;J Moreira;A T Millard;121;1176;1;3;1;1;0.57.99;57,099;2016-502;TOORAK TOFF;LADY'S LIGHT;TOOLIGHTTOQUIT
6;7;STRATHCLYDE;V225;D Whyte;A T Millard;117;1139;6;3;4;6;0.58.48;58,048;2015-601;TOORAK TOFF;LADY'S LIGHT;TOOLIGHTTOQUIT
1;4;STRATHCLYDE;V225;J Moreira;A T Millard;130;1163;3;3;3;1;1.09.04;69,004;2016-755;TOORAK TOFF;LADY'S LIGHT;TOOLIGHTTOQUIT
2;12;STRATUM;H_GFATH_097;Legacy Jockey;Legacy Trainer;128;1134;4;7;7;4;2.06;124;2001-979;DANSILI;LUNAR PHASE;GALILEO
6;6;STRAUSSBROOK;H_GFATH_096;Legacy Jockey;Legacy Trainer;128;1151;5;8;2;5;2.04;138;2004-952;NEARCO;DAM OF STRAUSSBROOK;HYPERION
